,name
0,amazon - fire tv stick with alexa voice remote - black 4 star 39.99
1,google - chromecast - black 4 star 35.0
2,"dell - inspiron 15.6"" touch-screen laptop - intel core i5 - 6gb memory - 1tb hard drive - black free shipping 4 star 499.99"
3,amazon - echo dot free shipping 4 star 49.99
4,"apple - macbook air® (latest model) - 13.3"" display - intel core i5 - 8gb memory - 128gb flash storage - silver free shipping 4 star 999.99"
5,"sharp - 50"" class (49.5"" diag.) - led - 1080p - smart - hdtv roku tv - black 4 star 429.99"
6,google - google home - white/slate fabric free shipping 4 star 129.0
7,apple - earpods™ with remote and mic - white free shipping 4 star 29.99
8,philips - hue a19 smart led light bulb - white only 4 star 14.99
9,nintendo - amiibo figure (the legend of zelda: breath of the wild series zelda) 0 star 15.99
10,nintendo - amiibo figure (the legend of zelda: breath of the wild series link (archer)) 0 star 15.99
11,roku - express streaming media player - black free shipping 4 star 29.99
12,nintendo - amiibo figure (the legend of zelda: breath of the wild series link (rider)) 0 star 15.99
13,"rocketfish™ - tilting tv wall mount for most 32""-70"" tvs - black free shipping 4 star 99.99"
14,nintendo - amiibo figure (the legend of zelda: breath of the wild series guardian) 0 star 19.99
15,lg - ultra slim 8x max. dvd write speed external usb dvd±rw/cd-rw drive - black 4 star 39.99
16,sony - bdp-s3700 - streaming wi-fi built-in blu-ray player - black free shipping 4 star 89.99
17,"insignia™ - 55"" class - (54.6"" diag.) - led - 1080p - hdtv - black 4 star 379.99"
18,"hp - 15.6"" laptop - amd a6-series - 4gb memory - 500gb hard drive - black free shipping 4 star 259.99"
19,nintendo - amiibo figure (the legend of zelda: breath of the wild series bokoblin) 0 star 15.99
20,at&t gophone - samsung galaxy express 3 4g lte with 8gb memory prepaid cell phone 4 star 49.99
21,"insignia™ - 32"" class - (31.5"" diag.) - led - 720p - hdtv - black 4 star 139.99"
22,"lenovo - 110-15isk 15.6"" laptop - intel core i3 - 4gb memory - 1tb hard drive - black free shipping 4 star 329.99"
23,amazon - echo dot free shipping 4 star 49.99
24,harman/kardon - onyx mini portable wireless speaker - black free shipping 4 star 199.99
25,insignia™ - portable wireless speaker - black free shipping 4 star 39.99
26,insignia™ - 92 bright multipurpose paper - white free shipping 4 star 5.99
27,"apple - macbook pro with retina display - 13.3"" display - 8gb memory - 128gb flash storage - silver free shipping 4 star 1299.99"
28,sandisk - ultra plus 32gb microsdhc class 10 uhs-1 memory card - gray/red free shipping 4 star 59.99
29,amazon - fire tv (2015 model) - black 4 star 89.99
30,gopro - hero5 black 4k action camera free shipping 4 star 399.99
31,epson - expression home xp-430 small-in-one wireless all-in-one printer 4 star 99.99
32,beats by dr. dre - powerbeats2 wireless earbud headphones - black/red free shipping 4 star 199.99
33,philips - hue white and color ambiance a19 add-on smart led bulb (3rd gen) - multicolor free shipping 4 star 49.99
34,sony - $20 playstation network card free shipping 4 star 20.0
35,"sharp - 43"" class (42.5"" diag.) - led - 1080p - smart - hdtv - roku tv - black 4 star 299.99"
36,"sharp - 40"" class (40"" diag.) - led - 1080p - hdtv - black free shipping 4 star 249.99"
37,apple - $15 itunes gift card - blue/purple free shipping 4 star 15.0
38,sony - bdps1700 streaming blu-ray player - black 4 star 89.99
39,sandisk - ultra plus 32gb sdhc class 10 uhs-1 memory card - black/gray/red free shipping 4 star 59.99
40,boost mobile - lg tribute hd 4g lte with 16gb memory prepaid cell phone - white free shipping 4 star 79.99
41,"amazon - fire hd8 - 8"" - tablet - 16gb - wi-fi - black free shipping 4 star 89.99"
42,harman/kardon - onyx mini portable wireless speaker - gray free shipping 4 star 199.99
43,"samsung - 55"" class (54.6"" diag.) - led - 2160p - smart - 4k ultra hd tv - black 4 star 799.99"
44,hp - 61 2-pack ink cartridges - black/cyan/magenta/yellow free shipping 4 star 39.99
45,"lenovo - 100s-14ibr 14"" laptop - intel celeron - 2gb memory - 32gb emmc flash memory - blue free shipping 4 star 229.99"
46,"hp - 15.6"" touch-screen laptop - intel core i3 - 6gb memory - 1tb hard drive - black free shipping 4 star 399.99"
47,"insignia™ - 24"" class (23.6"" diag.) - led - 720p - hdtv - black free shipping 4 star 129.99"
48,hp - 564xl high-yield ink cartridge - black free shipping 4 star 26.99
49,insignia™ - usb 2.0 sd/mmc memory card reader - black free shipping 4 star 8.49
50,apple - apple watch series 1 42mm space gray aluminum case black sport band - space gray aluminum free shipping 4 star 299.0
51,hp - 62 2-pack ink cartridges - black/tricolor free shipping 4 star 36.99
52,hp - 61 ink cartridge - black free shipping 4 star 17.99
53,"insignia™ - 32"" class (31.5"" diag.) - led - 720p - smart - roku tv - black free shipping 4 star 159.99"
54,apple - airpods - white free shipping 4 star 159.99
55,"apple - macbook air® (latest model) - 13.3"" display - intel core i5 - 8gb memory - 256gb flash storage - silver free shipping 4 star 1199.99"
56,at&t gophone - alcatel ideal 4g lte with 8gb memory prepaid cell phone - slate blue 4 star 29.99
57,"sharp - 32"" class (31.5"" diag.) - led - 1080p - smart - hdtv - roku tv - black 4 star 199.99"
58,lg - tone ultra wireless stereo headset - black free shipping 4 star 99.99
59,beats by dr. dre - powerbeats2 wireless earbud headphones - black 4 star 199.99
60,sony - playstation 4 console uncharted 4: a thief's end bundle 4 star 299.99
61,dell - inspiron 3650 desktop - intel core i3 - 8gb memory - 1tb hard drive - silver free shipping 4 star 429.99
62,sandisk - extreme plus 64gb microsdxc uhs-i class u-1 memory card - red/gold free shipping 4 star 149.99
63,"hp - envy x360 2-in-1 15.6"" touch-screen laptop - intel core i5 - 12gb memory - 1tb hard drive - silver free shipping 4 star 799.99"
64,skullcandy - ink'd 2 earbud headphones - black free shipping 4 star 19.99
65,sandisk - pixtor 32gb microsdhc class 10 uhs-1 memory card - gray/red free shipping 4 star 59.99
66,beats by dr. dre - beats studio wireless over-the-ear headphones - black 4 star 379.99
67,sony - playstation 4 pro console free shipping 4 star 399.99
68,sony - playstation® 4 500gb call of duty®: infinite warfare console bundle free shipping 4 star 299.99
69,sony - zx series on-ear headphones - black free shipping 4 star 19.99
70,hp - instant ink 50-page monthly plan for select hp printers free shipping 4 star 2.99
71,bose® - soundsport® wireless headphones - black 4 star 149.99
72,"insignia™ - fixed tv wall mount for most 19"" - 39"" tvs - black free shipping 4 star 29.99"
73,jaybird - x3 wireless in-ear headphones - blackout free shipping 4 star 129.99
74,samsung - 2.1-channel soundbar system with wireless subwoofer - black free shipping 4 star 229.99
75,"amazon - fire - 7"" tablet - 8gb - black 4 star 49.99"
76,apple - $25 itunes gift card - orange free shipping 4 star 25.0
77,sony - ex series earbud headphones - black free shipping 4 star 10.99
78,bose® - quietcomfort® 35 wireless headphones - black 4 star 349.99
79,hp - 63 2-pack ink cartridges - black/cyan/magenta/yellow free shipping 4 star 39.99
80,samsung - gear s3 frontier smartwatch 46mm - dark grey free shipping 4 star 349.99
81,"digiland - 7"" - tablet - 16gb 3 star 49.99"
82,sandisk - ultra plus 64gb microsdxc class 10 uhs-1 memory card - gray/red free shipping 4 star 99.99
83,hp - 564 3-pack ink cartridges - cyan/magenta/yellow free shipping 4 star 38.99
84,"hp - 17.3"" laptop - intel core i5 - 6gb memory - 1tb hard drive - textured linear gradient grooves in black free shipping 4 star 479.99"
85,"acer - h6 series 23"" ips led hd monitor - black 4 star 179.99"
86,arris - surfboard docsis 3.0 cable modem - white free shipping 4 star 149.99
87,hp - officejet 4650 wireless all-in-one instant ink ready printer - black 4 star 99.99
88,hp - officejet 3830 wireless all-in-one instant ink ready printer - black free shipping 4 star 79.99
89,samsung - bd-j5700/za - streaming wi-fi built-in blu-ray player - black free shipping 4 star 89.99
90,"hp - 25"" ips led hd monitor - natural silver free shipping 4 star 229.99"
91,sony - bdps6500 – streaming 4k upscaling 3d wi-fi built-in blu-ray player - black free shipping 4 star 179.99
92,"sanus - premium series advanced tilt tv wall mount for most 42"" - 90"" tvs - extends 5.75"" - black 4 star 129.99"
93,hp - envy 4520 wireless all-in-one instant ink ready printer - black free shipping 4 star 99.99
94,"sony - 65"" class (64.5"" diag.) - 2160p - smart - 4k ultra hd tv with high dynamic range - black 4 star 1699.99"
95,sony - playstation plus 12-month membership free shipping 4 star 59.99
96,sandisk - 16gb sdhc memory card - blue free shipping 4 star 29.99
97,insignia™ - earbud headphones - white free shipping 4 star 19.99
98,roku - premiere streaming media player - black free shipping 4 star 79.99
99,samsung - 3.1-channel soundbar system with wireless subwoofer - black 4 star 329.99
100,"sanus - full-motion tv wall mount for most 13"" - 39"" flat-panel tvs - extends 15"" - black free shipping 4 star 99.99"
101,"apple - macbook pro®  - 13"" display - intel core i5 - 8 gb memory - 256gb flash storage (latest model) - space gray free shipping 4 star 1499.99"
102,sony - wireless fm over-the-ear headphones - black free shipping 4 star 109.99
103,netgear - ac1200 wireless-ac high-gain wi-fi usb 3.0 adapter - black free shipping 4 star 59.99
104,philips - hue br-30 smart led light bulb - multicolor 4 star 49.99
105,"insignia™ - 10.1"" - tablet - 32gb 3 star 99.99"
106,netgear - ac1750 dual-band router with docsis 3.0 cable modem - multi 4 star 179.99
107,"lenovo - ideapad 110s 11.6"" laptop - intel celeron - 2gb memory - 32gb emmc flash memory - white free shipping 4 star 199.99"
108,apple - apple watch series 1 38mm rose gold aluminum case pink sand sport band - rose gold aluminum 4 star 269.0
109,"sony - 65"" class (64.5"" diag) - led - 2160p - smart - 3d - 4k ultra hd tv with high dynamic range - black 4 star 2199.99"
110,sandisk - extreme plus 32gb microsdhc uhs-3 memory card - red/gold free shipping 4 star 79.99
111,sandisk - pixtor 32gb sdhc class 10 memory card - black/red free shipping 4 star 59.99
112,beats by dr. dre - beats ep headphones - black free shipping 4 star 129.99
113,apple - ipad air 2 wi-fi 32gb - space gray free shipping 4 star 399.99
114,"kicker - cs65 6-1/2"" coaxial speakers with polypropylene woofer cones (pair) - black free shipping 4 star 69.99"
115,"samsung - 32"" class (31.5"" diag.) - led - 1080p - smart - hdtv - black free shipping 4 star 279.99"
116,"rocketfish™ - full-motion tv wall mount for most 40"" - 75"" tvs - black 4 star 199.99"
117,roku - premiere+ streaming media player - black free shipping 4 star 99.99
118,microsoft - $25 xbox gift card free shipping 4 star 25.0
119,hp - officejet pro 6968 wireless all-in-one instant ink ready printer 4 star 149.99
120,skullcandy - ink'd 2 earbud headphones - blue/black free shipping 4 star 19.99
121,arris - surfboard docsis 3.0 cable modem - silver free shipping 4 star 79.99
122,"insignia™ - 39"" class (38.5"" diag.) - led - 1080p - smart - hdtv roku tv - black 4 star 239.99"
123,hp - 564 ink cartridge - black free shipping 4 star 15.99
124,google - chromecast ultra - black free shipping 4 star 69.99
125,"samsung - 65"" class (64.5"" diag.) - led - 2160p - smart - 4k ultra hd tv - with high dynamic range - silver 4 star 1899.99"
126,cricket wireless - alcatel onetouch flint 4g with 16gb memory prepaid cell phone free shipping 4 star 49.99
127,"sony - 55"" class (54.6"" diag.) - 2160p - smart - 4k ultra hd tv with high dynamic range - black 4 star 1099.99"
